"","year","site","area","box","recording_date","date_aprildays","sunrise","sunset","day_before_hatch","inc_start","inc_start_aprildays","first_offbout","activity_onset_time","activity_onset_abs","activity_onset_relative","chronotype","last_onbout_time","activity_end_abs","activity_end_relative","daylength","act_window","night_var","lognight_var","light_atnight","percentage_in","clutch_size","inc_length","hatching_date","hatchlings","avg_chickweight","var_chickweight","fledglings","meantemp","mintemp","maxtemp","sunrise_inc_start","sunset_inc_start","dawn_inc_start","dusk_inc_start","sunrise_inc_start_dec","sunset_inc_start_dec","nestbox_id","light_meter_average"
"1",2016,"cashel","Forest","31CASH","15/05/2016",45,"15/05/2016 05:04","15/05/2016 21:26",-8,"09/05/2016 01:00",39,"15/05/2016 05:40","05:40:00",340,36,32.125,"15/05/2016 20:10",1210,-76,982,870,0.294331651,-0.531163033,0.3,86.38888889,6,14,"23/05/2016",5,20.08,1.61,5,9.14700641,-1.9,18.177,2016-05-09 05:17:08,2016-05-09 21:15:16,2016-05-09 04:29:14,2016-05-09 22:03:10,5.28333333333333,21.25,"31",NA
"2",2016,"cashel","Forest","37CASH","10/05/2016",40,"10/05/2016 05:13","10/05/2016 21:17",-12,"08/05/2016 01:00",38,"10/05/2016 05:33","05:33:00",333,20,18.25,"10/05/2016 19:41",1181,-96,964,848,0.143339806,-0.843633188,0.35,75.55555556,5,14,"22/05/2016",5,NA,NA,5,16.27573077,8.149,24.183,2016-05-08 05:19:10,2016-05-08 21:13:17,2016-05-08 04:31:41,2016-05-08 22:00:47,5.31666666666667,21.2166666666667,"37",NA
"3",2016,"cashel","Forest","38CASH","10/05/2016",40,"10/05/2016 05:13","10/05/2016 21:17",-10,"05/05/2016 01:00",35,"10/05/2016 05:21","05:21:00",321,8,27.4,"10/05/2016 18:55",1135,-142,964,814,0.139869158,-0.85427804,0.31,80.13888889,4,15,"20/05/2016",2,20.1,0.08,2,16.27573077,8.149,24.183,2016-05-05 05:25:29,2016-05-05 21:07:16,2016-05-05 04:39:09,2016-05-05 21:53:37,5.41666666666667,21.1166666666667,"38",NA
"4",2016,"cashel","Forest","55CASH","10/05/2016",40,"10/05/2016 05:13","10/05/2016 21:17",-9,"02/05/2016 01:00",32,"10/05/2016 05:21","05:21:00",321,8,16.77777778,"10/05/2016 19:11",1151,-126,964,830,0.626732574,-0.202917733,0.33,80,3,17,"19/05/2016",3,20.3,4,3,16.27573077,8.149,24.183,2016-05-02 05:32:03,2016-05-02 21:01:12,2016-05-02 04:46:47,2016-05-02 21:46:27,5.53333333333333,21.0166666666667,"55",NA
"5",2016,"cashel","Forest","72CASH","10/05/2016",40,"10/05/2016 05:13","10/05/2016 21:17",-12,"09/05/2016 01:00",39,"10/05/2016 06:00","06:00:00",360,47,45.91666667,"10/05/2016 18:40",1120,-157,964,760,0.135630614,-0.867642272,0.3,81.78025035,7,13,"22/05/2016",6,21.52,0.76,6,16.27573077,8.149,24.183,2016-05-09 05:17:08,2016-05-09 21:15:16,2016-05-09 04:29:14,2016-05-09 22:03:10,5.28333333333333,21.25,"72",NA
"6",2016,"cashel","Forest","81CASH","10/05/2016",40,"10/05/2016 05:13","10/05/2016 21:17",-12,"06/05/2016 01:00",36,"10/05/2016 05:23","05:23:00",323,10,19.63636364,"10/05/2016 19:05",1145,-132,964,822,0.167646123,-0.775606486,0.3,65.41666667,8,16,"22/05/2016",8,NA,NA,7,16.27573077,8.149,24.183,2016-05-06 05:23:21,2016-05-06 21:09:17,2016-05-06 04:36:38,2016-05-06 21:56:00,5.38333333333333,21.15,"81",NA
"7",2016,"cashel","Forest","84CASH","25/05/2016",55,"25/05/2016 04:47","25/05/2016 21:44",-3,"06/05/2016 01:00",36,"25/05/2016 05:12","05:12:00",312,25,25.33333333,"25/05/2016 18:16",1096,-208,1017,784,0.244847011,-0.611105193,0.33,87.5,9,22,"28/05/2016",5,17.86,4.48,5,9.333333333,0.4,16.1,2016-05-06 05:23:21,2016-05-06 21:09:17,2016-05-06 04:36:38,2016-05-06 21:56:00,5.38333333333333,21.15,"84",NA
"8",2016,"cashel","Forest","87CASH","10/05/2016",40,"10/05/2016 05:13","10/05/2016 21:17",-6,"06/05/2016 01:00",36,"10/05/2016 06:11","06:11:00",371,58,49.5,"10/05/2016 19:25",1165,-112,964,794,0.166585835,-0.77836193,0.3,81.11111111,7,10,"16/05/2016",6,18.3,3.36,3,16.27573077,8.149,24.183,2016-05-06 05:23:21,2016-05-06 21:09:17,2016-05-06 04:36:38,2016-05-06 21:56:00,5.38333333333333,21.15,"87",NA
"9",2016,"cashel","Forest","91CASH","29/05/2016",59,"29/05/2016 04:42","29/05/2016 21:50",-5,"23/05/2016 01:00",53,"29/05/2016 05:12","05:12:00",312,30,40.8,"29/05/2016 17:40",1060,-250,1028,748,0.409480468,-0.387766809,0.3,91.52777778,7,11,"03/06/2016",3,19.49,4.43,3,11.52083333,2,20.7,2016-05-23 04:52:06,2016-05-23 21:41:16,2016-05-23 03:57:59,2016-05-23 22:35:24,4.86666666666667,21.6833333333333,"91",NA
"10",2016,"SCENE","Forest","128PEN","15/05/2016",45,"15/05/2016 05:04","15/05/2016 21:26",-9,"12/05/2016 01:00",42,"15/05/2016 05:05","05:05:00",305,1,15,"15/05/2016 20:31",1231,-55,982,926,0.583053105,-0.234291888,0.32,81.11111111,4,12,"24/05/2016",0,NA,NA,0,9.14700641,-1.9,18.177,2016-05-12 05:11:10,2016-05-12 21:21:09,2016-05-12 04:22:02,2016-05-12 22:10:17,5.18333333333333,21.35,"128",NA
"11",2016,"SCENE","Forest","309DL","17/05/2016",47,"17/05/2016 05:00","17/05/2016 21:30",-7,"09/05/2016 01:00",39,"17/05/2016 05:09","05:09:00",309,9,29.2,"17/05/2016 18:47",1127,-163,990,818,1.113784391,0.046801127,0.41,85.55555556,10,15,"24/05/2016",8,NA,NA,8,8.763842949,-0.2,13.668,2016-05-09 05:17:08,2016-05-09 21:15:16,2016-05-09 04:29:14,2016-05-09 22:03:10,5.28333333333333,21.25,"309",NA
"12",2016,"SCENE","Forest","315DL","17/05/2016",47,"17/05/2016 05:00","17/05/2016 21:30",-5,"09/05/2016 01:00",39,"17/05/2016 05:16","05:16:00",316,16,26.6,"17/05/2016 19:02",1142,-148,990,826,0.196164576,-0.707379416,0.36,86.94444444,6,13,"22/05/2016",6,18.72,1.3,6,8.763842949,-0.2,13.668,2016-05-09 05:17:08,2016-05-09 21:15:16,2016-05-09 04:29:14,2016-05-09 22:03:10,5.28333333333333,21.25,"315",NA
"13",2016,"SCENE","Forest","317DL","13/05/2016",43,"13/05/2016 05:08","13/05/2016 21:23",-8,"08/05/2016 01:00",38,"13/05/2016 05:25","05:25:00",325,17,32.88888889,"13/05/2016 19:13",1153,-130,975,828,0.1760101,-0.75446241,0.41,81.80555556,7,13,"21/05/2016",7,18.24,0.49,7,8.426483974,1.3,12.665,2016-05-08 05:19:10,2016-05-08 21:13:17,2016-05-08 04:31:41,2016-05-08 22:00:47,5.31666666666667,21.2166666666667,"317",NA
"14",2016,"SCENE","Forest","319DL","13/05/2016",43,"13/05/2016 05:08","13/05/2016 21:23",-8,"05/05/2016 01:00",35,"13/05/2016 05:23","05:23:00",323,15,19.33333333,"13/05/2016 20:09",1209,-74,975,886,0.099298528,-1.003057189,0.4,85.27777778,7,16,"21/05/2016",7,18.17,1.01,7,8.426483974,1.3,12.665,2016-05-05 05:25:29,2016-05-05 21:07:16,2016-05-05 04:39:09,2016-05-05 21:53:37,5.41666666666667,21.1166666666667,"319",NA
"15",2017,"cashel","Forest","13CASH","13/05/2017",43,"13/05/2017 05:08","13/05/2017 21:22",-9,"0010-05-19 23:58:45",40,"13/05/2017 05:47","05:47:00",347,39,42.57142857,"13/05/2017 18:50",1130,-152,974,783,0.32571643,-0.487160334,0.33,88.95833333,9,733044,"22/05/2017",7,19.6625,1.188392857,7,10.79007781,9.316,13.4,2017-05-10 05:15:38,2017-05-10 21:16:44,2017-05-10 04:27:26,2017-05-10 22:04:55,5.25,21.2666666666667,"13",NA
"16",2017,"cashel","Forest","18CASH","05/05/2017",35,"05/05/2017 05:24","05/05/2017 21:06",-13,"0005-05-19 23:58:45",35,"05/05/2017 05:45","05:45:00",345,21,42.9,"05/05/2017 20:03",1203,-63,942,858,0.186173973,-0.730081033,0.32,64.79166667,7,734866,"18/05/2017",5,NA,NA,5,14.22261905,4.9,33.27,2017-05-05 05:26:03,2017-05-05 21:06:45,2017-05-05 04:39:48,2017-05-05 21:53:00,5.43333333333333,21.1,"18",NA
"17",2017,"cashel","Forest","21CASH","05/05/2017",35,"05/05/2017 05:24","05/05/2017 21:06",-9,"0028-04-19 23:58:45",28,"05/05/2017 05:06","05:06:00",306,-18,-9.5,"05/05/2017 18:51",1131,-135,942,825,0.083122877,-1.080279434,0.32,76.04166667,6,726491,"14/05/2017",6,18.45,0.679,6,14.22261905,4.9,33.27,2017-04-28 05:41:43,2017-04-28 20:52:29,2017-04-28 04:57:52,2017-04-28 21:36:20,5.68333333333333,20.8666666666667,"21",NA
"18",2017,"cashel","Forest","37CASH","05/05/2017",35,"05/05/2017 05:24","05/05/2017 21:06",-8,"0028-04-19 23:58:45",28,"05/05/2017 05:11","05:11:00",311,-13,2,"05/05/2017 21:35",1295,29,942,984,0.587096006,-0.231290874,0.36,77.29166667,6,726490,"13/05/2017",6,NA,NA,6,14.22261905,4.9,33.27,2017-04-28 05:41:43,2017-04-28 20:52:29,2017-04-28 04:57:52,2017-04-28 21:36:20,5.68333333333333,20.8666666666667,"37",NA
"19",2017,"cashel","Forest","40CASH","12/05/2017",42,"12/05/2017 05:10","12/05/2017 21:20",-7,"0006-05-19 23:58:45",36,"12/05/2017 05:39","05:39:00",339,29,-1.75,"12/05/2017 19:06",1146,-134,970,807,0.266231499,-0.574740563,0.36,88.75,8,734502,"19/05/2017",8,18.88571429,0.911428571,8,12.95327778,7.6,24.65,2017-05-06 05:23:54,2017-05-06 21:08:46,2017-05-06 04:37:17,2017-05-06 21:55:23,5.38333333333333,21.1333333333333,"40",NA
"20",2017,"cashel","Forest","46CASH","10/05/2017",40,"10/05/2017 05:14","10/05/2017 21:16",-10,"0007-05-19 23:58:45",37,"10/05/2017 05:32","05:32:00",332,18,27.5,"10/05/2017 19:35",1175,-101,962,843,0.124506257,-0.904808823,0.3,90.83333333,5,734138,"20/05/2017",5,20.36,0.803,4,10.52624206,1.1,20.899,2017-05-07 05:21:48,2017-05-07 21:10:46,2017-05-07 04:34:47,2017-05-07 21:57:46,5.35,21.1666666666667,"46",NA
"21",2017,"cashel","Forest","72CASH","05/05/2017",35,"05/05/2017 05:24","05/05/2017 21:06",-13,"0003-05-19 23:58:45",33,"05/05/2017 05:34","05:34:00",334,10,24,"05/05/2017 19:31",1171,-95,942,837,0.833041589,-0.079333316,0.3,68.95833333,7,735597,"18/05/2017",6,19.61,0.3042,6,14.22261905,4.9,33.27,2017-05-03 05:30:24,2017-05-03 21:02:42,2017-05-03 04:44:53,2017-05-03 21:48:13,5.5,21.0333333333333,"72",NA
"22",2017,"cashel","Forest","81CASH","05/05/2017",35,"05/05/2017 05:24","05/05/2017 21:06",-14,"0005-05-19 23:58:45",35,"05/05/2017 05:05","05:05:00",305,-19,8.6,"05/05/2017 19:08",1148,-118,942,843,0.575319537,-0.240090878,0.3,51.04166667,8,734867,"19/05/2017",6,18.74,0.908,6,14.22261905,4.9,33.27,2017-05-05 05:26:03,2017-05-05 21:06:45,2017-05-05 04:39:48,2017-05-05 21:53:00,5.43333333333333,21.1,"81",NA
"23",2017,"cashel","Forest","85CASH","10/05/2017",40,"10/05/2017 05:14","10/05/2017 21:16",-10,"0007-05-19 23:58:45",37,"10/05/2017 05:58","05:58:00",358,44,39,"10/05/2017 19:40",1180,-96,962,822,0.215960707,-0.665625259,0.33,86.25,6,734138,"20/05/2017",6,NA,NA,6,10.52624206,1.1,20.899,2017-05-07 05:21:48,2017-05-07 21:10:46,2017-05-07 04:34:47,2017-05-07 21:57:46,5.35,21.1666666666667,"85",NA
"24",2017,"cashel","Forest","89CASH","19/05/2017",49,"19/05/2017 04:57","19/05/2017 21:33",-5,"0010-05-19 23:58:45",40,"19/05/2017 05:56","05:56:00",356,59,65.66666667,"19/05/2017 19:50",1190,-103,996,834,0.093399784,-1.029654128,0.3,91.45833333,7,733046,"24/05/2017",6,NA,NA,0,11.10194551,0.6,17.01,2017-05-10 05:15:38,2017-05-10 21:16:44,2017-05-10 04:27:26,2017-05-10 22:04:55,5.25,21.2666666666667,"89",NA
"25",2017,"cashel","Forest","96CASH","05/05/2017",35,"05/05/2017 05:24","05/05/2017 21:06",-12,"0005-05-19 23:58:45",35,"05/05/2017 05:56","05:56:00",356,32,31.09090909,"05/05/2017 19:20",1160,-106,942,804,0.591984494,-0.227689669,0.32,68.54166667,9,734865,"17/05/2017",7,NA,NA,7,14.22261905,4.9,33.27,2017-05-05 05:26:03,2017-05-05 21:06:45,2017-05-05 04:39:48,2017-05-05 21:53:00,5.43333333333333,21.1,"96",NA
"26",2017,"garscube","City","9GC","30/04/2017",30,"30/04/2017 05:35","30/04/2017 20:54",-6,"0023-04-19 23:58:45",23,"30/04/2017 06:06","06:06:00",366,31,24,"30/04/2017 19:09",1149,-105,919,783,0.075856827,-1.120005327,45.86,90.83333333,8,728310,"06/05/2017",5,NA,NA,0,11.9025609,8.1,16.104,2017-04-23 05:53:04,2017-04-23 20:40:01,2017-04-23 05:11:04,2017-04-23 21:22:01,5.88333333333333,20.6666666666667,"709",NA
"27",2017,"SCENE","Forest","310DL","12/05/2017",42,"12/05/2017 05:10","12/05/2017 21:20",-10,"0007-05-19 23:58:45",37,"12/05/2017 05:21","05:21:00",321,11,14.75,"12/05/2017 19:21",1161,-119,970,840,0.369184431,-0.432756622,0.36,84.58333333,5,734140,"22/05/2017",4,NA,NA,4,12.95327778,7.6,24.65,2017-05-07 05:21:48,2017-05-07 21:10:46,2017-05-07 04:34:47,2017-05-07 21:57:46,5.35,21.1666666666667,"310",NA
"28",2017,"SCENE","Forest","315DL","11/05/2017",41,"11/05/2017 05:12","11/05/2017 21:18",-13,"0011-05-19 23:58:45",41,"11/05/2017 05:00","05:00:00",300,-12,18.09090909,"11/05/2017 19:39",1179,-99,966,879,1.302149134,0.114660726,0.36,61.66666667,7,732681,"24/05/2017",7,NA,NA,0,12.68752183,0.3,31.834,2017-05-11 05:13:38,2017-05-11 21:18:41,2017-05-11 04:25:02,2017-05-11 22:07:18,5.21666666666667,21.3,"315",NA
"29",2017,"SCENE","Forest","317DL","05/05/2017",35,"05/05/2017 05:24","05/05/2017 21:06",-12,"0005-05-19 23:58:45",35,"05/05/2017 05:06","05:06:00",306,-18,5,"05/05/2017 19:24",1164,-102,942,858,0.245459595,-0.610019987,0.38,60.625,7,734865,"17/05/2017",7,NA,NA,0,14.22261905,4.9,33.27,2017-05-05 05:26:03,2017-05-05 21:06:45,2017-05-05 04:39:48,2017-05-05 21:53:00,5.43333333333333,21.1,"317",NA
"30",2017,"SCENE","Forest","318DL","03/05/2017",33,"03/05/2017 05:29","03/05/2017 21:02",-14,"0001-05-19 23:58:45",31,"03/05/2017 05:30","05:30:00",330,1,4.4,"03/05/2017 19:45",1185,-77,933,855,0.691047955,-0.160491814,0.38,48.125,10,736326,"17/05/2017",9,18.76666667,0.163333333,9,10.70833333,1.1,18.7,2017-05-01 05:34:52,2017-05-01 20:58:37,2017-05-01 04:50:02,2017-05-01 21:43:27,5.56666666666667,20.9666666666667,"318",NA
"31",2018,"cashel","Forest","4CASH","20/05/2018",50,"20/05/2018 04:56","20/05/2018 21:34",-6,"0010-05-19 23:58:45",40,"20/05/2018 05:33","05:33:00",333,37,49,"20/05/2018 19:09",1149,-145,998,816,0.101362557,-0.994122442,0.4,88.95833333,9,733413,"26/05/2018",9,18.97,0.43,9,11.88902632,10.8,13.973,2018-05-10 05:16:09,2018-05-10 21:16:13,2018-05-10 04:28:04,2018-05-10 22:04:18,5.26666666666667,21.2666666666667,"4",NA
"32",2018,"garscube","City","14GC","02/05/2018",32,"02/05/2018 05:31","02/05/2018 20:57",-12,"0002-05-19 23:58:45",32,"02/05/2018 05:50","05:50:00",350,19,22,"02/05/2018 17:20",1040,-217,926,690,4.487438076,0.651998469,22.59,85.20833333,5,736323,"14/05/2018",0,NA,NA,0,9.315354839,5.1,12.495,2018-05-02 05:32:57,2018-05-02 20:57:44,2018-05-02 04:48:19,2018-05-02 21:42:21,5.53333333333333,20.95,"714",NA
"33",2018,"SCENE","Forest","188PEN","11/05/2018",41,"11/05/2018 05:12","11/05/2018 21:18",-15,"0011-05-19 23:58:45",41,"11/05/2018 04:35","04:35:00",275,-37,8.333333333,"11/05/2018 19:08",1148,-130,966,873,0.68978992,-0.161283156,0.32,50.20833333,8,733048,"26/05/2018",6,NA,NA,6,9.933468254,4.9,13.473,2018-05-11 05:14:09,2018-05-11 21:18:11,2018-05-11 04:25:39,2018-05-11 22:06:41,5.23333333333333,21.3,"188",NA
"34",2018,"SCENE","Forest","316DL","17/05/2018",47,"17/05/2018 05:01","17/05/2018 21:29",-7,"0010-05-19 23:58:45",40,"17/05/2018 05:59","05:59:00",359,58,30.42857143,"17/05/2018 19:38",1178,-111,988,819,0.146680608,-0.833627299,0.38,83.95833333,9,733411,"24/05/2018",4,NA,NA,4,12.8504246,0.5,17.737,2018-05-10 05:16:09,2018-05-10 21:16:13,2018-05-10 04:28:04,2018-05-10 22:04:18,5.26666666666667,21.2666666666667,"316",NA
